Order,RDKIT_SMILES,SMILES,MHFP,First_Class,Second_Class,hit_ratio,range of hit_ratio,,class_PFAA
2667,OC(c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,OC(C1=C(F)C(F)=C(F)C(F)=C1F)(C1=C(F)C(F)=C(F)C(F)=C1F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,[118448625 190309893 144793530 ...  93624024  86524023  36136210],Other PFASs,Aromatic PFASs,,10,,12
2668,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccc(Br)cc1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=C(Br)C=C1,[115611454 104111782  26425151 ... 162895639 281920279 151237944],Other PFASs,Aromatic PFASs,,10,,12
2669,CCCCCCCCCCCCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[216993070   5065065  97181807 ... 200578621  14046279 151237944],PFAA precursors,SFAenes,,10,,12
2670,O=C(O)CC(C[N+](=O)[O-])C(F)(F)C(F)(F)C(F)(F)F,OC(=O)CC(C[N+]([O-])=O)C(F)(F)C(F)(F)C(F)(F)F,[187923589  64602403 107816900 ...  39575178 103138359  13645418],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
2671,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Sn](Br)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Sn](Br)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  12928719  82667786 ...  21131108  43796935 151237944],Other PFASs,others,,10,,12
2672,FC(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,[ 71840584  90791381  52446246 ... 197251796  23638503  19162936],Other PFASs,Perfluoroalkylethers,,10,,12
2673,FC(F)(F)CCC(F)(F)C(F)(F)C(F)(F)[Si](Cl)(Cl)Cl,FC(F)(F)CCC(F)(F)C(F)(F)C(F)(F)[Si](Cl)(Cl)Cl,[146941168  88063690  54228732 ...  11942334 281920279 151237944],Other PFASs,Si PFASs,,10,,12
2674,FC(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,FC(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,[   853465   9635651  12884121 ... 212683906  23638503  71007262],PFAA precursors,HFEs,,10,,12
2675,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 35941647 104111782  97181807 ... 413328262 128847015  46460802],PFAA precursors,n:1 FTOHs,0.11,3,,12
2676,CCN(CC)C(F)(F)C(F)C(F)(F)F,CCN(CC)C(F)(F)C(F)C(F)(F)F,[161937110  33988699  62348548 ... 202829296 493828135 161931758],Other PFASs,others,,10,,12
2677,COC(=O)C(C)(C(C)c1csc(C#N)c1)S(=O)CCC(F)(F)C(F)(F)C(F)(F)F,COC(=O)C(C)(C(C)C1=CSC(=C1)C#N)S(=O)CCC(F)(F)C(F)(F)C(F)(F)F,[140639635  49018156  17313015 ...  43810108  42653399 151237944],Other PFASs,Aromatic PFASs,,10,,12
2678,O=[N+]([O-])c1ccc(C(F)(F)C(F)(F)C(F)(F)F)cc1,[O-][N+](=O)C1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)F,[  7060930 276937672 107816900 ... 144813810  72176439 107724166],Other PFASs,Aromatic PFASs,,10,,12
2679,Cc1c(C(=O)O)ccc(C(F)(C(F)(F)F)C(F)(F)F)c1S(=O)(=O)CC(C)C,CC(C)CS(=O)(=O)C1=C(C)C(=CC=C1C(F)(C(F)(F)F)C(F)(F)F)C(O)=O,[ 52793636  49018156  17313015 ...  63751395 266170263  65014626],Other PFASs,Aromatic PFASs,,10,,12
2680,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 611624164 281920279 151237944],Other PFASs,Perfluoroalkanes,,10,,12
2681,CN(C)CCCN(CCOCCOCCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CN(C)CCCN(CCOCCOCCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452   1815513  17313015 ... 136323818 138388023  98778836],PFAA precursors,PASF-based substances,,10,,12
2682,COC(=O)Nc1ccc(NC(=O)OC)c(C(F)(F)C(F)(F)C(F)(F)F)c1,COC(=O)NC1=CC(=C(NC(=O)OC)C=C1)C(F)(F)C(F)(F)C(F)(F)F,[250618452 196605299  41603599 ... 176223008 104499895  69549818],Other PFASs,Aromatic PFASs,,10,,12
2683,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1Br,CC1=CC(=CC(C)=C1Br)C(F)(C(F)(F)F)C(F)(F)F,[174950833 312252844  84382633 ...   9507957   9722791 233420030],Other PFASs,Aromatic PFASs,,10,,12
2684,CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)F,CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)F,[ 19469312 168789344  18439196 ...  15279529 133380679 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
2685,O=S(=O)(NCc1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)NCC1=CC=CC=C1,[234471388  67733975  17313015 ... 136323818  90036311  29516144],Other PFASs,Aromatic PFASs,,10,,12
2686,O=C(Nc1cc(Cl)c(Cl)cc1Cl)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(=O)NC1=C(Cl)C=C(Cl)C(Cl)=C1,[250618452   8492060 107816900 ...  25560912  98535143  52353704],Other PFASs,Aromatic PFASs,,10,,12
2687,FC(F)(F)C(F)(c1cccnc1Cl)C(F)(F)F,FC(F)(F)C(F)(C1=CC=CN=C1Cl)C(F)(F)F,[189801595  72011329  40526606 ...  17799215  94767431 261466434],Other PFASs,Aromatic PFASs,,10,,12
2688,CN(C)c1ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,CN(C)C1=CC=C(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,[250618452 107055568  17313015 ... 252899431  37515159  29302852],Other PFASs,Aromatic PFASs,,10,,12
2689,CCCCOC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,CCCCOC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,[   853465  90791381 107816900 ... 291378977  23638503  71007262],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
2690,C=C(CC(F)(F)C(F)(F)C(F)(F)F)C(=O)OC,COC(=O)C(=C)CC(F)(F)C(F)(F)C(F)(F)F,[ 43491808 541103106 107816900 ... 113981386  16565031  22160906],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
2691,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 286019159 240371511 151237944],PFAA precursors,HFCs,,10,,12
2692,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,[235162622 104111782  63064138 ...  53870161 281920279 151237944],PFAA precursors,PFAIs,0.06,2,,12
2693,O=C(O)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,OC(=O)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,[250618452  75884555  92943922 ... 240306396  74158135 151237944],PFAAs,PFCAs,,10,,4
2694,C=C(C)C(=O)OC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CF,CC(=C)C(=O)OC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CF,[  1426846  39964380 107816900 ... 186537140 125374471  22160906],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
2695,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  33988699  17313015 ... 136323818  90036311 151237944],PFAA precursors,PASF-based substances,,10,,12
2696,O=CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CC=O,[250618452 104111782  97181807 ... 164897051 281920279 151237944],PFAA precursors,n:2 fluorotelomer-based substances,,10,,12
2697,C=C(C)C(=O)OCC(C)OC(=O)Nc1cc(NC(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)ccc1C,[H]N(C(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1=CC(N([H])C(=O)OC(C)COC(=O)C(C)=C)=C(C)C=C1,[  1426846  33988699  17313015 ... 136323818 111393351  22160906],Other PFASs,Aromatic PFASs,,10,,12
2698,O=C(Cl)OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCOC(Cl)=O,[111000236 104111782  14323564 ...  16631887 281920279  17448216],Other PFASs,others,,10,,12
2699,OCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[216993070 104111782  97181807 ... 328816003  14046279 151237944],PFAA precursors,PolyFAC derivatives,,10,,12
2700,CN(C)CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CN(C)CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 39844693   1815513  97181807 ... 194511214 166016711 151237944],Other PFASs,Amide derivatives,,10,,12
2701,O=S(=O)(n1nnc2ccccc21)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)N1N=NC2=CC=CC=C12,[ 44076184 107055568  17313015 ...  67639244 107222071  29302852],Other PFASs,Aromatic PFASs,,10,,12
2702,O=C(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Cl)=O,[ 38710845 104111782  97181807 ... 307714696 281920279 151237944],PFAA precursors,Acid chloride,,10,,12
2703,OCC#CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC#CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[109264537 104111782  97181807 ...  78481900 174214951 151237944],PFAA precursors,PolyFAC derivatives,,10,,12
2704,O=C(C#CC(F)(F)C(F)(F)C(F)(F)F)c1ccccc1,FC(F)(F)C(F)(F)C(F)(F)C#CC(=O)C1=CC=CC=C1,[109264537  83239334 105751502 ...  78481900 281920279  29516144],Other PFASs,Aromatic PFASs,,10,,12
2705,CC(C)(CS(=O)(=O)O)NC(=O)CCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[Na+].CC(C)(CS([O-])(=O)=O)NC(=O)CCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[188076187  40824953  17313015 ... 162477053  43796935  15322286],PFAA precursors,n:2 fluorotelomer-based substances,,10,,12
2706,[N-]=[N+]=N[Sn](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Sn](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)N=[N+]=[N-],[214267522  24847886  82667786 ...  21131108  43796935  71361750],Other PFASs,"(Hg,Sn,Ge,Sb,Se,B) PFASs",,10,,12
2707,O=C(O)c1ccc(C(F)(F)C(F)(F)C(F)(F)F)nc1,OC(=O)C1=CC=C(N=C1)C(F)(F)C(F)(F)C(F)(F)F,[250618452 191941852 107816900 ...  99595631 111883495 107724166],Other PFASs,Aromatic PFASs,,10,,12
2708,FC(F)(F)C(F)(F)C(F)(F)OC1(F)C2C3C=CC(C3)C2C1(F)F,[H]C12CC([H])(C=C1)C1C2C(F)(F)C1(F)OC(F)(F)C(F)(F)C(F)(F)F,[142522170  90791381 107816900 ...  87223440  23638503  71007262],"Other PFASs, cyclic","Polyfluoroalkyl ethers and derivatives, cyclic",,10,,12
2709,Cc1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,CC1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  44409534  97181807 ... 321796966   3179815 107724166],Other PFASs,Aromatic PFASs,,10,,12
2710,O=S(=O)(O)c1ccc(OC(=C(C(F)(F)F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)F)cc1,CCCC[NH+](CCCC)CCCC.[O-]S(=O)(=O)C1=CC=C(OC(=C(C(F)(F)F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)F)C=C1,[ 43491808  75884555  17313015 ...  61518830 121247463   9034880],Other PFASs,Aromatic PFASs,,10,,12
2711,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[SnH](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[SnH](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[200217327  68899278  97181807 ... 611624164 222116343  33986594],Other PFASs,"(Hg,Sn,Ge,Sb,Se,B) PFASs",,10,,12
2712,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,,10,,12
2713,O=C=NC(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)N=C=O,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC(N=C=O)N=C=O,[250618452 104111782  42324633 ...  16631887 281920279  33910274],Other PFASs,others,,10,,12
2714,OC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  17810509  97181807 ... 611624164 134753287  83234406],PFAA precursors,PolyFACs,,10,,12
2715,FC(F)(F)C(F)(OC(F)(F)C(F)(F)Br)C(F)(F)F,FC(F)(F)C(F)(OC(F)(F)C(F)(F)Br)C(F)(F)F,[   853465 312550988  33612732 ... 198358795 101296679 261466434],Other PFASs,Polyfluoroalkyl ethers and derivatives,,10,,12
2716,FC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,[ 36931023  75884555  92943922 ... 244759987  68472071  73407762],Other PFASs,Perfluoroalkanes,,10,,12
2717,NCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  33988699  97181807 ... 171882282  43796935 151237944],Other PFASs,others,,10,,12
2718,O=C(NCCCCCCCCCCCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)NCCCCCCCCCCCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 39844693   8492060  97181807 ... 194511214 166016711 151237944],Other PFASs,Amide derivatives,,10,,12
2719,FC(F)(F)C(F)(F)C(F)(F)CCBr,FC(F)(F)C(F)(F)C(F)(F)CCBr,[250618452 138756634 107816900 ... 611624164 281920279 134521232],Other PFASs,Polyfluoroalkanes,,10,,12
2720,CN(C)CCCN(CCC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CN(C)CCCN(CCC(O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452   1815513  17313015 ... 136323818 107222071  29302852],PFAA precursors,PASF-based substances,,10,,12
2721,O=C(O)C(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)O,OC(=O)C(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(O)=O,[203843801 104111782  97181807 ...  16631887  43796935 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
2722,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCc1ccc(Br)cc1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC1=CC=C(Br)C=C1,[250618452 104111782  84382633 ... 171882282  43796935  93860188],Other PFASs,Aromatic PFASs,,10,,12
2723,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[250618452 137369255 107816900 ...  88808901  43796935  10360726],PFAA precursors,PolyFACs,,10,,12
2724,CC(C)CNC(=O)C(F)(F)C(F)(F)C(F)(F)F,CC(C)CNC(=O)C(F)(F)C(F)(F)C(F)(F)F,[ 68734378   8492060 107816900 ...  63618236 281920279  78867986],Other PFASs,Amide derivatives,,10,,12
2725,FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(F)(F)F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(F)(F)F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,[   853465   9635651 107816900 ... 291431448  23638503  71007262],PFAA precursors,HFEs,,10,,12
2726,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)c1cc2ccccc2o1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC2=CC=CC=C2O1,[250618452  25304212  26425151 ...  69892559 281920279 151237944],Other PFASs,Aromatic PFASs,,10,,12
2727,O=C(Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,[O-][N+](=O)C1=CC=C(NC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(=C1)[N+]([O-])=O,[   853465  90791381 107816900 ... 144813810  23638503  71007262],Other PFASs,Aromatic PFASs,,10,,12
2728,CC(C)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(C)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],Other PFASs,others,,10,,12
2729,CCCO[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OCCC)OCCC,CCCO[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OCCC)OCCC,[ 87672194 104111782  97181807 ... 171882282  43796935  50570070],Other PFASs,Si PFASs,,10,,12
2730,O=C(F)/C(F)=C(\F)C(F)(C(F)(F)F)C(F)(F)F,FC(=O)C(\F)=C(/F)C(F)(C(F)(F)F)C(F)(F)F,[349253427  63090150 108979564 ...  65408281 239720791 106305288],Other PFASs,others,,10,,12
2731,O=C(N1CCc2ccccc21)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(=O)N1CCC2=CC=CC=C12,[138816069   8492060 107816900 ... 105594216  37515159  29516144],Other PFASs,Aromatic PFASs,,10,,12
2732,CC(CNC(=O)C(F)(F)C(F)(F)C(F)(F)F)NC(=O)C(F)(F)C(F)(F)C(F)(F)F,CC(CNC(=O)C(F)(F)C(F)(F)C(F)(F)F)NC(=O)C(F)(F)C(F)(F)C(F)(F)F,[250618452   8492060 107816900 ... 194511214 163870503 151237944],Other PFASs,Amide derivatives,,10,,12
2733,O=C(N1CCOCC1)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(=O)N1CCOCC1)C(F)(F)F,[   853465   9635651 107816900 ... 194511214  23638503  71007262],"Other PFASs, cyclic","Polyfluoroalkyl ethers and derivatives, cyclic",,10,,12
2734,O=C(O)c1ccc(OC(=C(C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F)cc1,OC(=O)C1=CC=C(OC(=C(C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F)C=C1,[ 43491808  12005311 232751249 ... 124699056 402451527 249030822],Other PFASs,Aromatic PFASs,,10,,12
2735,N#CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C#N,[175312219 104111782  97181807 ... 292858329  92635079  37027116],Other PFASs,others,,10,,12
2736,O=C(Nc1ccc(Br)cc1)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(=O)NC1=CC=C(Br)C=C1,[250618452   8492060  84382633 ...  54552999 100272231 151237944],Other PFASs,Aromatic PFASs,,10,,12
2737,C=CC(=O)OCCCCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CN(CCCCOC(=O)C=C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312  33988699  17313015 ... 136323818 138388023 151237944],PFAA precursors,PASF-based substances,,10,,12
2738,FC(F)(F)/C=C/C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)\C=C\C(F)(F)C(F)(F)C(F)(F)F,[216993070  95104175 107816900 ... 330153186  14046279 151237944],PFAA precursors,PolyFAenes,,10,,12
2739,O=C(C=CC(=O)OCCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCSCCCOC(=O)C=CC(=O)OCCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[19469312 40824953 33520658 ... 13002854 43796935 83992880],PFAA precursors,n:2 fluorotelomer-based substances,,10,,12
